,Lactate,Malate,Fumarate,Biomass,CO2,R00268,R00405,R02740,R00351
1.9607843137254901,0.0,166.82547,100.0,133.34376,715.18636,160.67061,-160.67061,255.0,-160.67061
1.953125,0.0,168.97181,100.0,133.41973,712.45997,160.47726,-160.47726,256.0,-160.47726
1.9455252918287937,0.0,171.11815,100.0,133.49571,709.73358,160.28391,-160.28391,257.0,-160.28391
1.937984496124031,0.0,173.26449,100.0,133.57169,707.00719,160.09056,-160.09056,258.0,-160.09056
1.9305019305019304,0.0,175.41083,100.0,133.64767,704.28081,159.89721,-159.89721,259.0,-159.89721
1.9230769230769231,0.0,177.55717,100.0,133.72365,701.55442,159.70386,-159.70386,260.0,-159.70386
1.9157088122605364,0.0,179.70351,100.0,133.79963,698.82803,159.51051,-159.51051,261.0,-159.51051
1.9083969465648856,0.0,181.84985,100.0,133.87561,696.10164,159.31716,-159.31716,262.0,-159.31716
1.9011406844106464,0.0,183.99619,100.0,133.95159,693.37525,159.12381,-159.12381,263.0,-159.12381
1.893939393939394,0.0,186.14253,100.0,134.02757,690.64886,158.93046,-158.93046,264.0,-158.93046
1.8867924528301887,0.0,188.28887,100.0,134.10355,687.92247,158.73711,-158.73711,265.0,-158.73711
1.8796992481203008,0.0,190.43521,100.0,134.17953,685.19608,158.54376,-158.54376,266.0,-158.54376
1.8726591760299625,0.0,192.58154,100.0,134.25551,682.46969,158.35041,-158.35041,267.0,-158.35041
1.8656716417910448,0.0,194.72788,100.0,134.33149,679.7433,158.15706,-158.15706,268.0,-158.15706
1.858736059479554,0.0,196.87422,100.0,134.40747,677.01691,157.96371,-157.96371,269.0,-157.96371
1.8518518518518519,0.0,199.02056,100.0,134.48345,674.29052,157.77036,-157.77036,270.0,-157.77036
1.845018450184502,0.0,201.1669,100.0,134.55942,671.56413,157.57701,-157.57701,271.0,-157.57701
1.838235294117647,0.0,203.31324,100.0,134.6354,668.83774,157.38366,-157.38366,272.0,-157.38366
1.8315018315018314,0.0,205.45958,100.0,134.71138,666.11135,157.19031,-157.19031,273.0,-157.19031
1.8248175182481752,0.0,207.60592,100.0,134.78736,663.38496,156.99696,-156.99696,274.0,-156.99696
1.8181818181818181,0.0,209.75226,100.0,134.86334,660.65857,156.80361,-156.80361,275.0,-156.80361
1.8115942028985508,0.0,211.8986,100.0,134.93932,657.93218,156.61026,-156.61026,276.0,-156.61026
1.8050541516245486,0.0,214.04494,100.0,135.0153,655.20579,156.41691,-156.41691,277.0,-156.41691
1.7985611510791366,0.0,216.19128,100.0,135.09128,652.4794,156.22356,-156.22356,278.0,-156.22356
1.7921146953405018,0.0,218.33762,100.0,135.16726,649.75301,156.03021,-156.03021,279.0,-156.03021
1.7857142857142858,0.0,220.48396,100.0,135.24324,647.02663,155.83686,-155.83686,280.0,-155.83686
1.7793594306049823,0.0,222.63029,100.0,135.31922,644.30024,155.64351,-155.64351,281.0,-155.64351
1.7730496453900708,0.0,224.77663,100.0,135.3952,641.57385,155.45016,-155.45016,282.0,-155.45016
1.7667844522968197,0.0,226.92297,100.0,135.47118,638.84746,155.25681,-155.25681,283.0,-155.25681
1.7605633802816902,0.0,229.06931,100.0,135.54716,636.12107,155.06346,-155.06346,284.0,-155.06346
1.7543859649122806,0.0,231.21565,100.0,135.62314,633.39468,154.87011,-154.87011,285.0,-154.87011
1.7482517482517483,0.0,233.36199,100.0,135.69911,630.66829,154.67676,-154.67676,286.0,-154.67676
1.7421602787456445,0.0,235.50833,100.0,135.77509,627.9419,154.48341,-154.48341,287.0,-154.48341
1.7361111111111112,0.0,237.65467,100.0,135.85107,625.21551,154.29006,-154.29006,288.0,-154.29006
1.7301038062283738,0.0,239.80101,100.0,135.92705,622.48912,154.09671,-154.09671,289.0,-154.09671
1.7241379310344827,0.0,241.94735,100.0,136.00303,619.76273,153.90336,-153.90336,290.0,-153.90336
1.7182130584192439,0.0,244.09369,100.0,136.07901,617.03634,153.71001,-153.71001,291.0,-153.71001
1.7123287671232876,0.0,246.24003,100.0,136.15499,614.30995,153.51666,-153.51666,292.0,-153.51666
1.7064846416382253,0.0,248.38637,100.0,136.23097,611.58356,153.32331,-153.32331,293.0,-153.32331
1.7006802721088434,0.0,250.53271,100.0,136.30695,608.85717,153.12996,-153.12996,294.0,-153.12996
1.694915254237288,0.0,252.67904,100.0,136.38293,606.13078,152.93661,-152.93661,295.0,-152.93661
1.6891891891891893,0.0,254.82538,100.0,136.45891,603.40439,152.74326,-152.74326,296.0,-152.74326
1.6835016835016836,0.0,256.97172,100.0,136.53489,600.678,152.54991,-152.54991,297.0,-152.54991
1.6778523489932886,0.0,259.11806,100.0,136.61087,597.95161,152.35656,-152.35656,298.0,-152.35656
1.6722408026755853,0.0,261.2644,100.0,136.68685,595.22522,152.16321,-152.16321,299.0,-152.16321
1.6666666666666667,0.0,263.41074,100.0,136.76283,592.49883,151.96986,-151.96986,300.0,-151.96986
1.6611295681063123,0.0,265.55708,100.0,136.83881,589.77244,151.77651,-151.77651,301.0,-151.77651
1.6556291390728477,0.0,267.70342,100.0,136.91478,587.04606,151.58316,-151.58316,302.0,-151.58316
1.6501650165016502,0.0,269.84976,100.0,136.99076,584.31967,151.38981,-151.38981,303.0,-151.38981
1.644736842105263,0.0,271.9961,100.0,137.06674,581.59328,151.19646,-151.19646,304.0,-151.19646
1.639344262295082,0.0,274.14244,100.0,137.14272,578.86689,151.00311,-151.00311,305.0,-151.00311
1.6339869281045751,0.0,276.28878,100.0,137.2187,576.1405,150.80976,-150.80976,306.0,-150.80976
1.6286644951140066,0.0,278.43512,100.0,137.29468,573.41411,150.61641,-150.61641,307.0,-150.61641
1.6233766233766234,0.0,280.58146,100.0,137.37066,570.68772,150.42306,-150.42306,308.0,-150.42306
1.6181229773462784,0.0,282.7278,100.0,137.44664,567.96133,150.22971,-150.22971,309.0,-150.22971
1.6129032258064515,0.0,284.87413,100.0,137.52262,565.23494,150.03636,-150.03636,310.0,-150.03636
1.607717041800643,0.0,287.02047,100.0,137.5986,562.50855,149.84301,-149.84301,311.0,-149.84301
1.6025641025641026,0.0,289.16681,100.0,137.67458,559.78216,149.64966,-149.64966,312.0,-149.64966
1.597444089456869,0.0,291.31315,100.0,137.75056,557.05577,149.45631,-149.45631,313.0,-149.45631
1.5923566878980893,0.0,293.45949,100.0,137.82654,554.32938,149.26296,-149.26296,314.0,-149.26296
1.5873015873015872,0.0,295.60583,100.0,137.90252,551.60299,149.06961,-149.06961,315.0,-149.06961
1.5822784810126582,0.0,297.75217,100.0,137.9785,548.8766,148.87626,-148.87626,316.0,-148.87626
1.5772870662460567,0.0,299.89851,100.0,138.05447,546.15021,148.68291,-148.68291,317.0,-148.68291
1.5723270440251573,0.0,302.04485,100.0,138.13045,543.42382,148.48956,-148.48956,318.0,-148.48956
1.567398119122257,0.0,304.19119,100.0,138.20643,540.69743,148.29621,-148.29621,319.0,-148.29621
1.5625,0.0,306.33753,100.0,138.28241,537.97104,148.10286,-148.10286,320.0,-148.10286
1.557632398753894,0.0,308.48387,100.0,138.35839,535.24465,147.90951,-147.90951,321.0,-147.90951
1.5527950310559007,0.0,310.63021,100.0,138.43437,532.51826,147.71616,-147.71616,322.0,-147.71616
1.5479876160990713,0.0,312.77655,100.0,138.51035,529.79188,147.52281,-147.52281,323.0,-147.52281
1.5432098765432098,0.0,314.92288,100.0,138.58633,527.06549,147.32946,-147.32946,324.0,-147.32946
1.5384615384615385,0.0,317.06922,100.0,138.66231,524.3391,147.13611,-147.13611,325.0,-147.13611
1.5337423312883436,0.0,319.21556,100.0,138.73829,521.61271,146.94276,-146.94276,326.0,-146.94276
