,Glucose_input,Lactate_output,Glutamate_input,Ammonia_output
499,100.0,0.0,227.824,191.898
500,100.0,0.0,227.824,191.898
501,100.0,0.0,227.824,191.898
502,100.0,0.0,227.824,191.898
503,100.0,0.0,227.824,191.898
504,100.0,0.0,227.824,191.898
505,100.0,0.0,227.824,191.898
506,100.0,0.0,227.824,191.898
507,100.0,0.0,227.824,191.898
508,100.0,0.0,227.824,191.898
509,100.0,0.0,227.824,191.898
510,100.0,0.0,227.824,191.898
511,100.0,0.0,227.824,191.898
512,100.0,0.0,227.824,191.898
513,100.0,0.0,227.824,191.898
514,100.0,0.0,227.824,191.898
515,100.0,0.0,227.824,191.898
516,100.0,0.0,227.824,191.898
517,100.0,0.0,227.824,191.898
518,100.0,0.0,227.824,191.898
519,100.0,0.0,227.824,191.898
520,100.0,0.0,227.824,191.898
521,100.0,0.0,227.824,191.898
522,100.0,0.0,227.824,191.898
523,100.0,0.0,227.824,191.898
524,100.0,0.0,227.824,191.898
525,100.0,0.0,227.824,191.898
526,100.0,0.0,227.824,191.898
527,100.0,0.0,227.824,191.898
528,100.0,0.0,227.824,191.898
529,100.0,0.0,227.824,191.898
530,100.0,0.0,227.824,191.898
531,100.0,0.0,227.824,191.898
532,100.0,0.0,227.824,191.898
533,100.0,0.0,227.824,191.898
534,100.0,0.0,227.824,191.898
535,100.0,0.0,227.824,191.898
536,100.0,0.0,227.824,191.898
537,100.0,0.0,227.824,191.898
538,100.0,0.0,227.824,191.898
539,100.0,0.0,227.824,191.898
540,100.0,0.0,227.824,191.898
541,100.0,0.0,227.824,191.898
542,100.0,0.0,227.824,191.898
543,100.0,0.0,227.824,191.898
544,100.0,0.0,227.824,191.898
545,100.0,0.0,227.824,191.898
546,100.0,0.0,227.824,191.898
547,100.0,0.0,227.824,191.898
548,100.0,0.0,227.824,191.898
549,100.0,0.0,227.824,191.898
550,100.0,0.0,227.824,191.898
551,100.0,0.0,227.824,191.898
552,100.0,0.0,227.824,191.898
